city,latlon
Ottobrunn (Germany),"('48.06666666999999648623997927643358707427978515625', '11.6666666699999996836822901968844234943389892578125')"
Haguenau (France),"('48.82000000000000028421709430404007434844970703125', '7.79000000000000003552713678800500929355621337890625')"
Bohlerwerk (Austria),"('48.11670000000000158024704433046281337738037109375', '14.8666999999999998038902049302123486995697021484375')"
Oyonnax (France),"('46.25610000000000354702933691442012786865234375', '5.65559999999999973852027324028313159942626953125')"
Moorslede (Belgium),"('50.883333329999999250503606162965297698974609375', '3.066666670000000038953658076934516429901123046875')"
"Harrison (USA, MI)","('44.01916666999999705467416788451373577117919921875', '-84.7994444400000020323204807937145233154296875')"
"Fort Dodge (USA, IA)","('42.5066666700000013179305824451148509979248046875', '-94.1802777799999972785371937789022922515869140625')"
Rozzano (Italy),"('45.383333329999999250503606162965297698974609375', '9.1500000000000003552713678800500929355621337890625')"
"Riverside (USA, IL)","('41.83083332999999726098394603468477725982666015625', '-87.8161111099999942553040455095469951629638671875')"
"New London (USA, TX)","('32.25611110999999908699464867822825908660888671875', '-94.931666669999998475759639404714107513427734375')"
"Circleville (USA, OH)","('39.60000000000000142108547152020037174224853515625', '-82.9500000000000028421709430404007434844970703125')"
Komoro (Japan),"('36.326833329999999477877281606197357177734375', '138.4426388900000119974720291793346405029296875')"
Edmonton (Canada),"('53.53333332999999782941813464276492595672607421875', '-113.5')"
Veurne (Belgium),"('51.06666666999999648623997927643358707427978515625', '2.649999999999999911182158029987476766109466552734375')"
Calamba (Philippines),"('14.2200000000000006394884621840901672840118408203125', '121.1700000000000017053025658242404460906982421875')"
Moriguchi (Japan),"('34.7374999999999971578290569595992565155029296875', '135.564166669999991654549376107752323150634765625')"
"Montville (USA, NJ)","('40.9132249999999970668795867823064327239990234375', '-74.3548640000000062855178839527070522308349609375')"
"Lansdale (USA, PA)","('40.241944439999997484846971929073333740234375', '-75.2841666700000047285357140935957431793212890625')"
Beit Jala (Palestine),"('31.714999999999999857891452847979962825775146484375', '35.18722222000000243724571191705763339996337890625')"
North York (Canada),"('43.77969999999999828332875040359795093536376953125', '-79.4155999999999977490006131120026111602783203125')"
"Canton (USA, MI)","('42.3086111100000010765143088065087795257568359375', '-83.4822222199999970371209201402962207794189453125')"
Filderstadt (Germany),"('48.6802777799999972785371937789022922515869140625', '9.21833333000000010315488907508552074432373046875')"
Hyuga (Japan),"('34.1666666699999979073254507966339588165283203125', '132.549722220000006700502126477658748626708984375')"
